7,4,Tepelná øezaèka polystyrenu rámová + stolová,100,0,0,200,500
7,5,Teplogenerátor 15- 30 kW - Meva,220,120,170,320,500
7,6,PB Hoøák malı - pájecí souprava Meva ,100,0,50,150,500
7,7,PB Hoøák velkı  na lepenku,150,50,100,200,2000
7,8,Horkovzdušná pistole Bosch GHG 660 LCD,150,50,100,250,2000
8,1,Míchaèka Alko 120 L na beton a maltu,400,250,300,700,2000
8,2,Míchadlo Protool MXP 1602 E - ruèní ,280,120,180,440,1000
8,3,"Kloubovı hliníkovı ebøík, skládací 4x4",300,100,180,400,2000
8,4,"Hliníkovı ebøík dvoudílnı, vısuvnı",300,100,180,400,2000
8,5,"Lešení hliníkové skládací, fasadní (pole)",150,0,0,200,2000
8,6,Øezaèka obkladù GS 450mm Hoby,80,40,0,100,500
8,7,Øezaèka obkladù Topline 630mm Profi,200,100,150,300,2000
8,8,Bimetalové vrtací korunky,od 200,dle opotøebení,0,0,2000
8,9,Vazaèka na armování,50,0,0,0,300
8,10,Stropní stojky,5,0,0,0,500
8,11,Vodováha hadicová,30,0,0,0,100
8,12,Vodováha hliník /stahovací la,50,0,0,0,500
8,13,Set Chemické kotvy HILTI,300,150,0,500,2000
8,14,Rozvadìè stavební 230 + 400V,100,0,0,0,1000
9,1,Multi liniovı laser HILTI PM 4-M ,350,150,250,600,3000
9,2,Nivelaèní rotaèní laser Topcon RL-H3C ,500,250,350,900,5000
9,3,Køíovı laser zelenı Dewalt DCE 0811D1G,350,150,250,600,3000
9,4,Nivelaèní pøístroj LASERLINER AL 26 ,300,150,200,500,5000
9,5,Laserovı mìøiè vzdáleností BOSCH PLR 30,100,0,50,150,1000
9,6,Termodetektor Berner -20 °C + 350 °C,50,0,0,0,1000
9,7,Nivelaèní la TN 15- 0,0,0,0,0,0
10,1,Nabíjeèka baterií DECA Fl 2213D,150,0,0,0,1000
10,2,Pákové kleštì na drát,50,0,0,0,300
10,3,Rudl  150 kg nosnost,50,0,0,0,500
10,4,"Koleèko, lopata, hrábì, krumpáè, palice",od 50,0,0,0,0
10,5,Taná tyè vozidla,150,0,0,0,0
10,6,Instalatérské pero,30,0,0,0,1000
10,7,Katrovaèka - prohazovací síto 80x120cm,30,0,0,0,200
10,8,Pøívìsnı vozík Agados se stojanem,200,0,0,0,4000
10,9,Pøívìsnı vozík Kempík,100,0,0,0,1000
10,10,Plastovı barel (sud) na vodu,20,0,0,0,0
10,11,Støešní Box Hakr Magic 400 èernı + nosièe,150,0,0,200,2000
10,12,Støešní nosiè posuvnı,50,0,0,0,500
10,13,Snìhové øetìzy na osobní auto,30,0,0,0,500
10,14,Pøenosná malá lednièka Minifridge do Auta,40,0,0,0,200
